Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
29494976,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE118,,,,,244 [106-429],243.79411,105.93234,429.22374,,2022-08-26T09:29:03.743+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494977,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,1 973 [1 404-2 500],1973.28519,1404.37103,2500.39589,,2022-08-26T09:29:03.777+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494978,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,586 [429-756],586.08147,428.5487,755.84457,,2022-08-26T09:29:03.823+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494979,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,738 [399-1 172],738.32055,399.3671,1172.25277,,2022-08-26T09:29:03.853+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494980,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE000,,,,,3 585 [2 818-4 457],3585.09188,2817.95244,4456.88181,,2022-08-26T09:29:03.887+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494981,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,44 [28-61],43.61055,28.16755,61.03551,,2022-08-26T09:29:03.917+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494982,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE118,,,,,239 [104-421],239.10289,103.89393,420.96438,,2022-08-26T09:29:03.947+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494983,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE113,,,,,1 815 [1 292-2 300],1815.3534,1291.97226,2300.27681,,2022-08-26T09:29:03.963+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494984,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE039,,,,,530 [387-683],529.62017,387.26363,683.02881,,2022-08-26T09:29:03.993+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494985,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE114,,,,,843 [456-1 339],843.0423,456.01244,1338.5225,,2022-08-26T09:29:04.09+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494986,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE000,,,,,3 451 [2 717-4 336],3451.15157,2716.67419,4336.22616,,2022-08-26T09:29:04.137+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494987,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE068,,,,,24 [16-34],24.03281,15.52251,33.63532,,2022-08-26T09:29:04.15+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494988,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE118,,,,,249 [108-439],249.23617,108.297,438.80503,,2022-08-26T09:29:04.167+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494989,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE113,,,,,2 124 [1 512-2 691],2124.06396,1511.67905,2691.45119,,2022-08-26T09:29:04.183+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494990,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE039,,,,,643 [470-829],642.95258,470.13343,829.18883,,2022-08-26T09:29:04.213+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494991,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE114,,,,,629 [340-998],628.80912,340.13096,998.37833,,2022-08-26T09:29:04.23+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494992,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE000,,,,,3 709 [2 903-4 577],3708.9337,2902.65723,4577.12496,,2022-08-26T09:29:04.243+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494993,AIR_90,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE068,,,,,64 [41-89],63.87187,41.2541,89.39241,,2022-08-26T09:29:04.26+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494994,AIR_90,COUNTRY,AGO,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE118,,,,,106 [12-275],105.71476,11.65057,274.57429,,2022-08-26T09:29:04.277+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29494995,AIR_90,COUNTRY,AGO,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,470 [172-745],470.02443,172.1047,744.70205,,2022-08-26T09:29:04.29+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
